generation,full_path,filename,size,modified_utc,sha256,comparison_status,hash_movement,fresh_generation_role
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.log","dedicated_server.log","3020","2026-08-09T21:16:19.448822+00:00","B5D6BB8F940A95AE66D2C1C7B76BE77A6D5FB34442B02C6A42CAFBAF0114872E","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\ecs.log","ecs.log","0","2026-08-09T21:07:24.760412+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.1.log","error.1.log","524288","2026-08-09T21:16:19.183822+00:00","2D83236CD0BEDC4ACF5A0679081C0738DF9DBF5DE35E9C4615DDABDA18DCE45E","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.2.log","error.2.log","524160","2026-08-09T21:16:15.728158+00:00","C28146FC3296867C65671669EA418BA152A853B2DA031EC9A49C19F65F6BA327","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.3.log","error.3.log","524160","2026-08-09T21:16:15.644063+00:00","E71B5D3A918DF4D7A9E30D75994BD348F8F41CF3D12E5111C40EC40B0230EE5A","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.4.log","error.4.log","524205","2026-08-09T21:16:15.546510+00:00","18FC6B85A6A40359B2FF4F01471D2B91B87FE3CC842B449FB2493D4F99BC483B","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.5.log","error.5.log","524129","2026-08-09T21:16:13.985616+00:00","87CE41AA4992ABA46345F818258DF643F97FD8CB35861065DFE2E51B15A11FF5","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.log","error.log","259507","2026-08-09T21:18:06.766753+00:00","E82717FC50A802492B7DE8731C6D567E34EE8E300E79BB73BFDFAAB1C44B536C","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.1.log","game.1.log","524124","2026-08-09T21:16:19.212973+00:00","26B5CE8C92C5890683F755F8B17EF0C441D2CC71ED583F57838F1690B1C93689","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.2.log","game.2.log","524129","2026-08-09T21:16:18.594759+00:00","FE6CAEE661AC1440605FBB9A76BB7137DE39A4E94EE8FAE0899C0DE6B875A666","changed_or_rotated","new_session_content","session_log_or_rotation"
